ts,uid,orig_h,orig_p,resp_h,resp_p,proto,query,qtype_name,answers,rcode_name,qclass_name
1767916802.934661,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916802.934661,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916806.532627,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916806.532627,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916810.253698,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916810.253698,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916813.87467,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916813.87467,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916817.507652,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916817.507652,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916821.244616,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916821.244616,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916824.94464,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916824.94464,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916827.538622,C3yErY1pJNzltDpAl,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916827.53865,CSKtJ83vzDsBqIOwR7,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916828.773606,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916828.773606,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916829.21295,ClNl8s3yVqaxO5XxCc,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916829.212967,CcxV3N3o1JNd9ydlvh,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916830.732939,CBHVpD4Hd5yLNGlyi2,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
