"ts","src_ip","src_port","dest_ip","dest_port","proto","community_id","flow_state","pkts_toserver","pkts_toclient","bytes_toserver","bytes_toclient"
"2026-02-13 07:20:04.958","88.210.63.16",64238,"10.1.2.12",14739,"TCP","1:YtLQJtccqfpIAglZIYTR6RHGBPA=","closed",5,4,347,229
"2026-02-13 07:20:04.861","129.212.190.128",57470,"10.1.2.12",22,"TCP","1:Wutq9eqkik67Xt3Zma3XmJI1LTQ=","closed",12,13,2332,2332
"2026-02-13 07:20:04.861","10.1.2.12",34082,"10.1.1.11",10051,"TCP","1:baOaXj7SFhFz44kgryItQUrTDGU=","closed",6,5,633,441
"2026-02-13 07:20:03.959","178.217.172.109",56292,"10.1.2.12",445,"TCP","1:1LDGJRFTvYEqBSWOj+5vWOBMczs=","closed",6,6,537,425
"2026-02-13 07:20:03.889","178.217.172.109",56278,"10.1.2.12",445,"TCP","1:2HixCf2+WJTNM2HKT/wHk2TnBIU=","closed",6,6,537,425
"2026-02-13 07:20:02.941","178.217.172.109",56269,"10.1.2.12",445,"TCP","1:O6zS4B4OP0xbai0aVe6Z+eXGxlI=","closed",6,6,537,425
"2026-02-13 07:20:02.895","129.212.190.128",57464,"10.1.2.12",22,"TCP","1:hy9DkJcY4WqKcHULqSdgymyjjC8=","closed",12,13,2332,2332
"2026-02-13 07:20:01.989","178.217.172.109",56252,"10.1.2.12",445,"TCP","1:jo+3w9RTGZNaCzJV3Ql8ZvagJjE=","closed",6,6,537,425
"2026-02-13 07:20:01.989","172.234.199.134",57086,"10.1.2.12",7080,"TCP","1:cP5Etw5NySJsyIghH3Ykqc5ZOrc=","closed",2,1,126,66
"2026-02-13 07:20:00.017","178.217.172.109",56228,"10.1.2.12",445,"TCP","1:rxDfhZOhS5RFlGdFViGvNGmavsQ=","closed",6,6,537,425
"2026-02-13 07:19:59.944","129.212.190.128",57456,"10.1.2.12",22,"TCP","1:dzDPV7zflHoWfpHdJZwOAwGKQ/A=","closed",12,11,2332,2200
"2026-02-13 07:19:59.040","178.217.172.109",56237,"10.1.2.12",445,"TCP","1:sNeEjInOXcC4ctewhmnN7zZ+IIY=","closed",6,6,537,425
"2026-02-13 07:19:59.002","35.203.210.195",51624,"10.1.2.12",49456,"TCP","1:Rjz1Jc4teUi5tbzPqlcqNilS0qo=","closed",2,1,120,58
"2026-02-13 07:19:58.961","51.91.168.102",54823,"10.1.2.12",5060,"UDP","1:DVObL/SSChXf/83XdPurCJXNqdU=","established",1,1,676,771
"2026-02-13 07:19:58.961","129.212.190.128",41108,"10.1.2.12",22,"TCP","1:9QgSW8CYO2Eq49WtQavWj013k7E=","closed",12,11,2332,2200
"2026-02-13 07:19:58.073","178.217.172.109",56198,"10.1.2.12",445,"TCP","1:uYYBk+wOp5E/1ltHkdNx/2+qGSg=","closed",6,6,537,425
"2026-02-13 07:19:58.007","80.94.95.43",64916,"10.1.2.12",1174,"TCP","1:6SXWsxLoh/iTJ3XpNoJaNaaGhuc=","closed",5,4,347,229
