"ts","uid","orig_h","orig_p","resp_h","resp_p","proto","service","duration","orig_bytes","resp_bytes","conn_state","local_orig","local_resp","missed_bytes","history","orig_pkts","orig_ip_bytes","resp_pkts","resp_ip_bytes","community_id"
"2026-02-13 06:42:23.000","Cj0sxE22hL5gWwD3e9","2.56.167.5",50730,"10.1.2.12",8000,"tcp","",1.4847841262817383,64,1,"SF",0,1,0,"ShAdfDFrr",5,276,6,253,"1:Bxih/zA6aVs5JKUSzbzj93ZsHbA="
"2026-02-13 06:42:21.000","CMWQZ93eX2uan97P7e","86.54.31.44",48020,"10.1.2.12",21240,"tcp","http",1.5295701026916504,40,1,"SF",0,1,0,"ShADadfF",5,308,5,269,"1:aQxXZjdtl3dMMIxPuha0MgVwR0c="
"2026-02-13 06:42:21.000","C8evdq21cmlEonkpE6","2.56.167.5",50517,"10.1.2.12",8000,"tcp","",1.5949487686157227,65,1,"SF",0,1,0,"ShAdfDFr",5,277,5,213,"1:/LYk2OBTjZx0Yjnd87EVAUfPniI="
"2026-02-13 06:42:21.000","CSYGnT3CC3qBfqt30d","88.210.63.122",45982,"10.1.2.12",22254,"tcp","",0.28531312942504883,0,0,"RSTO",0,1,0,"ShR",3,120,1,44,"1:52U0+nGfl+SNsUTVt/3Bsl7XZmQ="
"2026-02-13 06:42:20.000","Cxw0Dw14ghrN8XxP4c","86.54.31.44",47806,"10.1.2.12",21240,"tcp","http",1.5639288425445557,254,1,"SF",0,1,0,"ShADadfF",5,522,5,269,"1:Yd5AxJxoIhk0pB8BAoEBxYxlg1g="
"2026-02-13 06:42:20.000","CrLQIA1H6Ef46czJn","80.94.95.43",63286,"10.1.2.12",2508,"tcp","",1.557919979095459,47,1,"RSTO",0,1,0,"ShADadfR",5,259,4,173,"1:+mXlwcPwMVlBnCjAs8hqml8go2Y="
"2026-02-13 06:42:20.000","CCOL5VFD2tXO6Igog","2.56.167.5",50313,"10.1.2.12",8000,"tcp","",1.4842851161956787,64,1,"SF",0,1,0,"ShAdfDFr",5,276,5,213,"1:anIDmCHZI5OhuNFgIPhGjKXE1BQ="
"2026-02-13 06:42:19.000","C6sTjdbVceVHe2KI6","94.154.35.122",65097,"10.1.2.12",22600,"tcp","",1.5581440925598145,47,1,"RSTO",0,1,0,"ShADadfR",5,259,4,173,"1:00fiMy6JgDCJy3b+t3Z1Hqnsl0g="
"2026-02-13 06:42:18.000","C7vIru4hZuTIHhgfL2","2.56.167.5",50081,"10.1.2.12",8000,"tcp","",1.5485150814056396,60,1,"SF",0,1,0,"ShAdfDFr",5,272,5,213,"1:KnXN3x9FnA82LM7bo1bzK3VoT5g="
"2026-02-13 06:42:18.000","CrJg344V0L1akORuYj","86.54.31.44",26200,"10.1.2.12",21240,"tcp","",0.29015398025512695,0,0,"RSTO",0,1,0,"ShR",2,84,1,44,"1:9v81jybPvQzh8nnDs7Fm7LCiObw="
"2026-02-13 06:42:17.000","CBIfCPWpoyhpkmSR2","2.56.167.5",49884,"10.1.2.12",8000,"tcp","",1.4820640087127686,64,1,"SF",0,1,0,"ShAdfDFr",5,276,5,213,"1:hVrV4J8htwSr011e90aB9K8aWJA="
"2026-02-13 06:42:15.000","CliBM31p1q7sVIOqM1","2.56.167.5",49630,"10.1.2.12",8000,"tcp","",1.4528419971466064,69,1,"SF",0,1,0,"ShAdfDrrF",5,281,6,253,"1:5Ux1YL09/fFuDh0HKiQuKCVCivk="
