"ts","orig_h","resp_h","proto","query","qtype_name","answers","community_id"
"2026-02-13 06:41:25.940","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:zWu1f/LiN1uGQHGxNodHaD12tHs="
"2026-02-13 06:41:25.940","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:3PeyCBl2DroPQZbsVatv7Iosn+A="
"2026-02-13 06:41:24.770","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:mqtsvGDosx/fN9EZtbpcjsTBXZw="
"2026-02-13 06:41:24.770","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:qxijxT9DPbIQGfkcSZ2CHwru+bY="
"2026-02-13 06:41:22.955","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:lAQgF9GJyVV87MNNAaJLEjqqOD4="
"2026-02-13 06:41:22.955","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:v0KXFK7HWYB/Hz15FXMXm/ggg6U="
"2026-02-13 06:41:20.390","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:yfQEikcL4MtKvOCF1MIKF94iL4Y="
"2026-02-13 06:41:20.390","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:1x3YXPr3cPuGVPezUHPIlu4dD3s="
"2026-02-13 06:41:06.343","10.1.2.12","8.8.8.8","udp","teredo.ipv6.microsoft.com","A","","1:7gJuxt5kAxgZM6+JnWfaWauoXbw="
"2026-02-13 06:40:58.748","10.1.2.12","8.8.8.8","udp","grafana.com","AAAA","2600:1901:0:b3ea::","1:ITNTu6nmEVw3ohKRBQpgoUvw0hA="
"2026-02-13 06:40:58.748","10.1.2.12","8.8.8.8","udp","grafana.com","A","34.120.177.193","1:ixcqGijDZKXe0KvboHOlxE2T7qw="
"2026-02-13 06:40:46.858","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:qTXgIl8o2AxvOR6V9qDio5yKZxs="
"2026-02-13 06:40:46.858","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:dKNXsg53r4vf0Byil4ObcY4Nitg="
"2026-02-13 06:40:26.129","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:5xfup1FwfhskVrueX6SuS/pkk/0="
"2026-02-13 06:40:26.090","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:7J8RLWgNlz+DaHIiKWx25G6fvsI="
"2026-02-13 06:40:26.015","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:kbWGivxdfqiYIEGlhbvl0dD+JcY="
"2026-02-13 06:40:25.977","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:mlTlRO/0Z3mweHIczchgbjy5DrA="
"2026-02-13 06:40:25.901","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:r8pfytEZxDsLP8+lcUBgU8KgwI0="
"2026-02-13 06:40:25.863","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:MwzxcgpnzZKXhKN/PmFzmSo0cQk="
"2026-02-13 06:40:25.787","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:E4HsGEGBQamBOyNCrumK5n8+3T4="
"2026-02-13 06:40:25.748","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:qlXZAMbS3CBGTXNgPgYTpDNKfyw="
"2026-02-13 06:40:25.676","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:B4TPyedyowwt6MkpBP6W7BcGNlg="
"2026-02-13 06:40:25.635","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:hlXt2dwwMCQat86V1n+A3OswTkw="
