"ts","orig_h","resp_h","resp_p","method","host","uri","referrer","user_agent","status_code","request_body","response_body","community_id"
"2026-02-13 06:39:57.200","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",500," /*TABIX_QUERY_ID_AS6inlmP*/ select * from default.zeek_http order by ts desc limit 10000

 FORMAT JSON ","Code: 396. DB::Exception: Limit for result exceeded, max rows: 5.00 thousand, current rows: 7.62 thousand. (TOO_MANY_ROWS_OR_BYTES) (version 25.12.1.649 (official build))
","1:h5VD0D6dZ859ZVDWxA/Lr68nTZc="
"2026-02-13 06:39:56.113","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",500," /*TABIX_QUERY_ID_tSM1YF1Z*/ select * from default.zeek_http order by ts desc limit 10000

 FORMAT JSON ","{
	""meta"":
	[
		{
			""name"": ""ts"",
			""type"": ""DateTime64(3)""
		},
		{
			""name"": ""orig_h"",
			""type"": ""String""
		},
		{
			""name"": ""resp_h"",
			""type"": ""String""
		},
		{
			""name"": ""resp_p"",
			""type"": ""UInt16""
		},
		{
			""name"": ""method"",
			""type"": ""String""
		},
		{
			""name"": ""host"",
			""type"": ""String""
		},
		{
			""name"": ""uri"",
			""type"": ""String""
		},
		{
			""name"": ""referrer"",
			""type"": ""String""
		},
		{
			""name"": ""user_agent"",
			""type"": ""String""
		},
		{
			""name"": ""status_code"",
			""type"": ""UInt16""
		},
		{
			""name"": ""request_body"",
			""type"": ""String""
		},
		{
			""name"": ""response_body"",
			""type"": ""String""
		},
		{
			""name"": ""community_id"",
			""type"": ""String""
		}
	],

	""data"":
	[
		{
			""ts"": ""2026-02-13 06:39:02.381"",
			""orig_h"": ""152.32.139.96"",
			""resp_h"": ""10.1.2.12"",
			""resp_p"": 12503,
			""method"": ""GET"",
			""host"": """",
			""uri"": ""\/"",
			""referrer"": """",
			""user_agent"": ""Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/120.0.0.0 Safar","1:h5VD0D6dZ859ZVDWxA/Lr68nTZc="
"2026-02-13 06:39:54.258","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",500," /*TABIX_QUERY_ID_clZ7RxxE*/ select * from default.zeek_http order by ts desc limit 10000

 FORMAT JSON ","Code: 396. DB::Exception: Limit for result exceeded, max rows: 5.00 thousand, current rows: 7.62 thousand. (TOO_MANY_ROWS_OR_BYTES) (version 25.12.1.649 (official build))
","1:h5VD0D6dZ859ZVDWxA/Lr68nTZc="
"2026-02-13 06:39:53.261","35.203.210.95","10.1.2.12",9289,"GET","","/","","Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity",0,"","","1:K4GG1ljcBRrr0j9X7b3YSmWa4Zg="
"2026-02-13 06:39:02.381","152.32.139.96","10.1.2.12",12503,"GET","","/","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",0,"","","1:gzNGbz+BzEhREDSvRfvRWaWJ8fA="
"2026-02-13 06:38:25.348","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200," /*TABIX_QUERY_ID_xqhZsR1o*/ select * from default.zeek_http order by ts desc limit 20

 FORMAT JSON ","{
	""meta"":
	[
		{
			""name"": ""ts"",
			""type"": ""DateTime64(3)""
		},
		{
			""name"": ""orig_h"",
			""type"": ""String""
		},
		{
			""name"": ""resp_h"",
			""type"": ""String""
		},
		{
			""name"": ""resp_p"",
			""type"": ""UInt16""
		},
		{
			""name"": ""method"",
			""type"": ""String""
		},
		{
			""name"": ""host"",
			""type"": ""String""
		},
		{
			""name"": ""uri"",
			""type"": ""String""
		},
		{
			""name"": ""referrer"",
			""type"": ""String""
		},
		{
			""name"": ""user_agent"",
			""type"": ""String""
		},
		{
			""name"": ""status_code"",
			""type"": ""UInt16""
		},
		{
			""name"": ""request_body"",
			""type"": ""String""
		},
		{
			""name"": ""response_body"",
			""type"": ""String""
		},
		{
			""name"": ""community_id"",
			""type"": ""String""
		}
	],

	""data"":
	[
		{
			""ts"": ""2026-02-13 06:38:20.463"",
			""orig_h"": ""10.212.134.200"",
			""resp_h"": ""10.1.2.12"",
			""resp_p"": 8123,
			""method"": ""POST"",
			""host"": """",
			""uri"": ""\/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=","1:EBqugA6Cdbn0cjz38wzovYy//RY="
"2026-02-13 06:38:20.463","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200," /*TABIX_QUERY_ID_NU3umjOU*/ select * from default.zeek_dns order by ts desc limit 20

 FORMAT JSON ","{
	""meta"":
	[
		{
			""name"": ""ts"",
			""type"": ""DateTime64(3)""
		},
		{
			""name"": ""orig_h"",
			""type"": ""String""
		},
		{
			""name"": ""resp_h"",
			""type"": ""String""
		},
		{
			""name"": ""proto"",
			""type"": ""String""
		},
		{
			""name"": ""query"",
			""type"": ""String""
		},
		{
			""name"": ""qtype_name"",
			""type"": ""String""
		},
		{
			""name"": ""answers"",
			""type"": ""Array(String)""
		},
		{
			""name"": ""community_id"",
			""type"": ""String""
		}
	],

	""data"":
	[
		{
			""ts"": ""2026-02-13 06:37:33.450"",
			""orig_h"": ""10.1.2.12"",
			""resp_h"": ""8.8.8.8"",
			""proto"": ""udp"",
			""query"": ""community.sicherheitstacho.eu"",
			""qtype_name"": ""AAAA"",
			""answers"": [],
			""community_id"": ""1:OGKOEnBUZ1UQbtx1CkIPXUJQ\/EU=""
		},
		{
			""ts"": ""2026-02-13 06:37:33.450"",
			""orig_h"": ""10.1.2.12"",
			""resp_h"": ""8.8.8.8"",
			""proto"": ""udp"",
			""query"": ""community.sicherheitstacho.eu"",
			""qtype_name"": ""A"",
			""answers"": [
				""160.44.201.156""
			],
			""community_id"": ""1:dxUAO8Poy+\/FX12KW5OBDM60tc8=""
		},
		{
			""ts"": ""2026-02-13 06:37:32.009"",
			","1:EBqugA6Cdbn0cjz38wzovYy//RY="
"2026-02-13 06:38:16.853","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200," /*TABIX_QUERY_ID_rbt3CeN5*/ select * from default.zeek_conn order by ts desc limit 20

 FORMAT JSON ","{
	""meta"":
	[
		{
			""name"": ""ts"",
			""type"": ""DateTime64(3)""
		},
		{
			""name"": ""uid"",
			""type"": ""String""
		},
		{
			""name"": ""orig_h"",
			""type"": ""String""
		},
		{
			""name"": ""orig_p"",
			""type"": ""UInt16""
		},
		{
			""name"": ""resp_h"",
			""type"": ""String""
		},
		{
			""name"": ""resp_p"",
			""type"": ""UInt16""
		},
		{
			""name"": ""proto"",
			""type"": ""String""
		},
		{
			""name"": ""service"",
			""type"": ""String""
		},
		{
			""name"": ""duration"",
			""type"": ""Float64""
		},
		{
			""name"": ""orig_bytes"",
			""type"": ""UInt64""
		},
		{
			""name"": ""resp_bytes"",
			""type"": ""UInt64""
		},
		{
			""name"": ""conn_state"",
			""type"": ""String""
		},
		{
			""name"": ""local_orig"",
			""type"": ""UInt8""
		},
		{
			""name"": ""local_resp"",
			""type"": ""UInt8""
		},
		{
			""name"": ""missed_bytes"",
			""type"": ""UInt64""
		},
		{
			""name"": ""history"",
			""type"": ""String""
		},
		{
			""name"": ""orig_pkts"",
			""type"": ""UInt64""
		},
		{
			""name"": ""orig_ip_bytes"",
			""type"": ""UInt64""
		},
		{
			""name"": ""resp_pkts"",
			""type"": ""UInt64""
		},
		{
			""name"": ""res","1:EBqugA6Cdbn0cjz38wzovYy//RY="
"2026-02-13 06:38:03.336","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",200," /*TABIX_QUERY_ID_aNS5A8A2*/ select * from default.suricata_flows order by ts desc limit 20

 FORMAT JSON ","{
	""meta"":
	[
		{
			""name"": ""ts"",
			""type"": ""DateTime64(3)""
		},
		{
			""name"": ""src_ip"",
			""type"": ""String""
		},
		{
			""name"": ""src_port"",
			""type"": ""UInt16""
		},
		{
			""name"": ""dest_ip"",
			""type"": ""String""
		},
		{
			""name"": ""dest_port"",
			""type"": ""UInt16""
		},
		{
			""name"": ""proto"",
			""type"": ""String""
		},
		{
			""name"": ""community_id"",
			""type"": ""String""
		},
		{
			""name"": ""flow_state"",
			""type"": ""String""
		},
		{
			""name"": ""pkts_toserver"",
			""type"": ""UInt64""
		},
		{
			""name"": ""pkts_toclient"",
			""type"": ""UInt64""
		},
		{
			""name"": ""bytes_toserver"",
			""type"": ""UInt64""
		},
		{
			""name"": ""bytes_toclient"",
			""type"": ""UInt64""
		}
	],

	""data"":
	[
		{
			""ts"": ""2026-02-13 06:37:54.609"",
			""src_ip"": ""2.56.167.5"",
			""src_port"": 65428,
			""dest_ip"": ""10.1.2.12"",
			""dest_port"": 8000,
			""proto"": ""TCP"",
			""community_id"": ""1:UYVANCbEEpHj8WV85o6+ddFeSxI="",
			""flow_state"": ""closed"",
			""pkts_toserver"": ""5"",
			""pkts_toclient"": ""5"",
			""bytes_toserver"": ""368"",
			""bytes_toclient"": ""283""
		},","1:1vBEKdN6eEETcsvP/h63x2ONkcU="
"2026-02-13 06:37:58.783","10.212.134.200","10.1.2.12",8123,"POST","","/?add_http_cors_header=1&log_queries=1&output_format_json_quote_64bit_integers=1&database=INFORMATION_SCHEMA&result_overflow_mode=throw&max_result_rows=5000&timeout_overflow_mode=throw&max_execution_time=5","http://10.1.2.12:8124/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",404," /*TABIX_QUERY_ID_liFtMcJF*/ select * from suricata_flows order by ts desc limit 20

 FORMAT JSON ","Code: 60. DB::Exception: Unknown table expression identifier 'suricata_flows' in scope SELECT * FROM suricata_flows ORDER BY ts DESC LIMIT 20. (UNKNOWN_TABLE) (version 25.12.1.649 (official build))
","1:1vBEKdN6eEETcsvP/h63x2ONkcU="
